Price,Close,High,Low,Open,Volume
Ticker,APARINDS.NS,APARINDS.NS,APARINDS.NS,APARINDS.NS,APARINDS.NS
Date,,,,,
2021-02-08,359.90313720703125,373.9451196041074,358.141962657014,358.141962657014,196724
2021-02-09,365.3295593261719,369.37555444574514,358.1895679386897,367.4715567424165,207760
2021-02-10,372.0411071777344,375.94430793984776,357.95153702239946,366.51952594048885,1343154
2021-02-11,395.4126892089844,407.74105567049247,374.08792288006254,375.08750995302125,1300387
2021-02-12,417.8799133300781,440.2042692782874,405.0755169772838,405.0755169772838,1038862
2021-02-15,428.0662536621094,434.11145183927033,415.16668157173643,423.0682599731704,317289
2021-02-16,420.3550720214844,435.7298763775091,416.3090769915197,435.7298763775091,140681
2021-02-17,446.1066589355469,450.53344769827066,419.06989789002563,422.6874818341937,407547
2021-02-18,451.3902587890625,461.4338643078401,441.679887738312,452.1994636398,185314
2021-02-19,442.6794738769531,464.57544785366264,435.8726877773421,451.39025771366937,171987
2021-02-22,428.0662536621094,443.5838514993861,423.9250530807347,439.82344462662917,135975
2021-02-23,430.54144287109375,440.2518419267444,425.78144903061735,428.49465133022824,92680
2021-02-24,439.8234558105469,442.44145257132396,432.44546493926606,432.44546493926606,41982
2021-02-25,447.86785888671875,450.86664937522625,438.82387004832236,439.9186628866412,92669
2021-02-26,439.490234375,448.3914288473716,429.827452493818,438.8714409737544,81759
2021-03-01,452.19940185546875,456.0549851344212,442.67941444798515,443.5362075041195,51419
2021-03-02,441.3466491699219,456.91183534915405,437.91944768187204,454.4842209792989,53705
2021-03-03,437.2054138183594,452.1993937152329,434.4446233304265,446.2018133775616,72012
2021-03-04,429.3990478515625,441.72744395367636,427.0666682192017,436.01545114393053,79629
2021-03-05,425.4482727050781,434.3494676051704,418.87948656717805,431.636265120275,75053
2021-03-08,416.45184326171875,429.8274133860998,412.40584878355503,425.44821355213656,88280
2021-03-09,428.637451171875,439.72823116067445,419.212669049929,419.78387412910394,134479
2021-03-10,434.0638427734375,442.2034204852961,428.3042328898584,430.2558477638763,59664
2021-03-12,434.4922790527344,442.67947515649115,432.20748757214403,437.72906940462894,59469
2021-03-15,437.68145751953125,439.8234548646513,433.1594631242778,436.39625330191956,57390
2021-03-16,454.91265869140625,464.9086466693263,433.1594790432022,441.39426332875837,148461
2021-03-17,452.48504638671875,475.99942984199305,445.5354663321055,460.24386033530294,153476
2021-03-18,437.68145751953125,463.81383675107526,433.1594631242778,461.7194277258785,80119
2021-03-19,447.106201171875,452.0089888585347,422.687439370152,429.6370185315108,44028
2021-03-22,439.8710632324219,455.055456725406,433.92107033590764,449.24825784786816,44256
2021-03-23,438.9666748046875,446.48745989645465,436.01547256412846,439.87105627904157,29391
2021-03-24,431.6361999511719,445.5353866265563,428.20899885889025,436.68181043646535,34972
2021-03-25,420.2599182128906,434.5874897704417,416.0710998886057,433.06428574821996,48602
2021-03-26,436.15826416015625,442.63187372492143,423.63948518380386,423.63948518380386,25912
2021-03-30,442.25103759765625,454.38902248096025,433.0642548494599,442.58424299322775,57483
2021-03-31,452.48504638671875,456.95945264831334,437.015064916854,442.6794697530535,25011
2021-04-01,459.9582214355469,465.8130083344421,455.055433351194,456.95943098027846,71352
2021-04-05,450.5334167480469,459.72019904446717,437.91943307786914,459.72019904446717,42079
2021-04-06,446.7730407714844,459.8154364065808,442.77466310391594,453.1514445746013,26442
2021-04-07,455.53143310546875,461.7194254047071,447.3442374836292,448.8674413985967,22316
2021-04-08,451.62823486328125,466.43183396116905,449.4862375160719,459.24422543113656,35749
2021-04-09,446.15423583984375,456.9594281279932,442.91744570114344,453.6274322978933,34825
2021-04-12,431.82666015625,443.15544003070596,420.7834682998325,443.15544003070596,76555
2021-04-13,436.1106262207031,441.7274129454619,424.5914357191293,433.20701264795713,50968
2021-04-15,436.15826416015625,439.77587719559244,431.1602702338305,438.300261557153,19971
2021-04-16,431.874267578125,446.487455569897,429.7798875635743,436.158262354382,57522
2021-04-19,425.8766784667969,428.2090581470764,419.8314801417445,428.2090581470764,24182
2021-04-20,440.3470153808594,445.5354202505826,426.8762387201471,429.2562356231951,37261
2021-04-22,443.96466064453125,451.2474458910946,434.11146693320495,434.11146693320495,32826
2021-04-23,431.49346923828125,446.2018627672072,428.39947304407406,446.2018627672072,72452
2021-04-26,517.792236328125,517.792236328125,434.11150793748766,437.91950362114983,1274347
2021-04-27,485.2338562011719,533.1193897681993,480.9498611048203,533.1193897681993,464873
2021-04-28,486.4237976074219,508.9861807479771,482.80618474230073,485.4717988091317,287784
2021-04-29,473.4289855957031,493.89695953529855,469.4781964365067,492.84978411077947,110377
2021-04-30,471.00140380859375,485.42417974176357,462.766620042692,472.14381398362997,69736
2021-05-03,481.90179443359375,499.32336050012657,470.2873976874405,471.0013967729983,112421
2021-05-04,481.3305969238281,498.5617809368015,479.854981358852,485.5193858144327,64749
2021-05-05,479.8550109863281,489.27982288797256,474.09542953772274,489.27982288797256,31432
2021-05-06,474.8570251464844,490.2794184749311,471.2870293808902,482.28263377054014,34243
2021-05-07,470.1446228027344,480.5689924442439,466.52700985715296,477.1894082562268,41810
2021-05-10,490.0414123535156,495.70581718198434,463.19503292598773,470.1922303456551,124646
2021-05-11,489.66058349609375,501.1322160816975,480.7594175227332,481.6638280480636,73371
2021-05-12,477.23699951171875,491.7549815978452,473.1434161839232,490.42221810563575,46099
2021-05-14,476.0469970703125,492.04056558325055,473.09582397821794,480.7594028380219,53740
2021-05-17,489.04180908203125,497.89538655261396,477.9034111843446,478.3318222776012,55819
2021-05-18,491.80255126953125,507.4153546549174,489.1369662807907,489.1369662807907,96700
2021-05-19,498.89495849609375,508.272181520106,491.8025558295554,491.8025558295554,81529
2021-05-20,496.51495361328125,512.5561679687986,488.5181986999507,501.3701822694337,64301
2021-05-21,500.037353515625,506.46334520763924,496.0865353813403,505.51134643845194,46757
2021-05-24,527.1693725585938,534.0713643437853,498.37140683417397,506.36822055848677,175956
2021-05-25,530.0729370117188,552.9209089355463,525.5033542480328,528.2641740976542,225154
2021-05-26,537.7365112304688,545.495324869993,529.7873443109095,535.6897486269172,50930
2021-05-27,537.2605590820312,552.1593651954131,530.4538017708807,540.4497902787286,69413
2021-05-28,555.1581420898438,565.9633055902402,536.0705190250644,536.0705190250644,277410
