Price,Close,High,Low,Open,Volume
Ticker,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS
Date,,,,,
2021-07-19,1559.7484130859375,1742.1659458826118,1530.0342822449945,1726.7676801550672,13548172
2021-07-20,1709.59814453125,1731.6869441569875,1551.434123921457,1560.2893412495325,6980467
2021-07-22,1667.1912841796875,1750.3811738460827,1645.2500970099172,1722.831610682682,1731678
2021-07-23,1609.0914306640625,1673.6853466054556,1579.1804498358872,1672.652189857326,1084767
2021-07-26,1625.91650390625,1660.8454212367626,1593.939326068457,1608.6980235320539,747225
2021-07-27,1650.2681884765625,1687.6076412553277,1593.9884091941908,1637.7232968962517,676427
2021-07-28,1608.2550048828125,1647.8575022140765,1602.351527019767,1645.3484760796562,256379
2021-07-29,1596.349853515625,1624.5389894847028,1574.2610511838366,1609.6819248354727,351507
2021-07-30,1654.9417724609375,1699.0702493283698,1599.9410082014736,1603.286336637989,1271880
2021-08-02,1639.6417236328125,1682.3928143167502,1633.2955330080274,1666.2566175596953,288875
2021-08-03,1645.7423095703125,1679.5397013315016,1639.8388308310102,1646.5786117037305,234059
2021-08-04,1618.7828369140625,1656.417508551785,1613.6172937481006,1652.9738131078104,172637
2021-08-05,1611.0592041015625,1626.9001797133815,1574.3592003871418,1624.3911534679903,210820
2021-08-06,1630.2945556640625,1651.9898848025164,1596.8907582099368,1613.6172787826843,312272
2021-08-09,1576.6221923828125,1653.9577290412383,1550.3516435994197,1638.1167539920198,499926
2021-08-10,1495.990478515625,1602.7942831157834,1485.7086356690195,1591.872872795424,643538
2021-08-11,1550.0074462890625,1567.8654927092946,1412.5055933828035,1495.5478813417808,678501
2021-08-12,1551.5816650390625,1572.293083169755,1532.3462366174206,1554.5826479400582,153642
2021-08-13,1586.412353515625,1608.698010526809,1545.1863682459448,1556.550613243677,289245
2021-08-16,1503.1240234375,1595.4643657153495,1494.564027347203,1593.939252338689,539674
2021-08-17,1472.8685302734375,1527.032989442889,1466.0303829058664,1510.306468295641,327596
2021-08-18,1519.8011474609375,1572.1945115389876,1446.3520224363122,1487.6763659344924,1365679
2021-08-20,1519.260009765625,1573.2768564376101,1502.04153260011,1554.5825098007654,365365
2021-08-23,1460.7666015625,1538.2005141519978,1442.4165983062512,1520.1457328670929,431169
2021-08-24,1439.366455078125,1460.7665643648058,1422.787543858954,1460.7665643648058,399166
2021-08-25,1435.9227294921875,1466.0304448071813,1427.657835849141,1452.255662104295,419543
2021-08-26,1406.4544677734375,1441.43262490506,1399.2227308438635,1441.43262490506,315671
