Price,Close,High,Low,Open,Volume
Ticker,DCMSHRIRAM.NS,DCMSHRIRAM.NS,DCMSHRIRAM.NS,DCMSHRIRAM.NS,DCMSHRIRAM.NS
Date,,,,,
2021-02-08,438.7455139160156,447.7923189398428,425.6252977318283,427.5672956786083,228493
2021-02-09,432.3038024902344,440.5927434811358,428.2777454375108,438.3192111626807,76275
2021-02-10,437.3718566894531,444.2871894388692,427.7093092359263,433.8668075970194,126164
2021-02-11,446.039794921875,451.865730954157,434.15106704476113,436.70880916114544,118559
2021-02-12,447.5554504394531,454.70761066844636,437.60872145608084,444.28722792396115,120934
2021-02-15,431.9249267578125,460.344155743052,431.02497294279937,450.8236966872759,155606
2021-02-16,449.9237365722656,452.7656592483902,431.21441228777894,431.97224677093254,460506
2021-02-17,440.35595703125,449.0238160528958,435.7615092496457,449.0238160528958,64038
2021-02-18,439.8822937011719,449.59219668636075,436.7088074314229,439.6454667990941,61308
2021-02-19,438.6507873535156,449.73429820970125,434.62472991825234,441.3980026134406,161382
2021-02-22,429.03558349609375,442.39262572935763,427.235704933491,437.6560879806493,66443
2021-02-23,447.271240234375,449.6868917585149,431.02492203199824,431.2143951000007,142552
2021-02-24,447.65020751953125,457.97588378017855,440.49804650038186,449.59220550036116,56228
2021-02-25,447.4607238769531,457.12324347326734,443.3399302815325,449.97108308488873,131064
2021-02-26,431.0249328613281,446.13449976390615,427.7093564547025,446.13449976390615,122118
2021-03-01,436.6614074707031,452.7182523890518,429.08294740506665,433.9141925692852,267125
2021-03-02,470.0066833496094,479.1481963626618,436.8035618809541,436.8035618809541,360447
2021-03-03,503.351806640625,513.4406544356657,468.91720285176115,481.232200098373,479401
2021-03-04,516.3299560546875,533.2867839165043,487.86337643065326,491.51048728216983,384999
2021-03-05,494.9207763671875,530.3974510411269,492.59986160925564,519.0297619270673,176878
2021-03-08,526.087158203125,547.4963408158249,494.96813225050096,499.7046694012235,580978
2021-03-09,515.9984741210938,533.0500113453108,496.3891947494304,526.7030387035941,173222
2021-03-10,510.7881774902344,522.9610548302572,504.0149062424819,516.472022066567,76534
2021-03-12,510.97772216796875,535.2287726321721,504.91493064238534,515.3353138263745,120014
2021-03-15,503.8254699707031,514.7195062039094,497.38379054444556,514.7195062039094,74417
2021-03-16,514.8616333007812,519.1718709209956,490.7999993436443,490.7999993436443,69546
2021-03-17,506.1937561035156,516.2826044371138,502.451937611011,516.2826044371138,93593
2021-03-18,497.43115234375,520.7349518734958,492.884087841551,506.19374684595954,74692
2021-03-19,490.8474426269531,500.1783991038204,471.66443534269985,493.07359229836845,95891
2021-03-22,498.9942321777344,509.65144169268365,485.0214463692454,491.65259895632494,51961
2021-03-23,496.9575500488281,505.8622647278444,493.8314464935371,500.17841905674504,39934
2021-03-24,477.8219299316406,499.8468597240836,473.65378242817917,497.33647154958817,39039
2021-03-25,475.7378234863281,491.8894043026017,466.6436659830838,469.86450560248517,99525
2021-03-26,460.2967224121094,486.77395049347984,456.0338385329715,478.1534751099597,118995
2021-03-30,467.4015808105469,479.05348205389066,462.28612536910714,463.70708682003675,77723
2021-03-31,474.7431945800781,490.1369718800781,464.98593793331895,467.40156073231725,140548
2021-04-01,490.3263244628906,496.1049347345082,477.158785291289,477.158785291289,54432
2021-04-05,479.1481018066406,494.92079414663675,466.5489241497584,492.59987930532867,47557
2021-04-06,489.3791198730469,497.33652743971095,464.6544127793871,481.70595086303433,78767
2021-04-07,490.6580505371094,496.3892507423617,484.31107717945116,490.8948774697155,34978
2021-04-08,518.3667602539062,525.5662753025292,486.1582999917295,486.1582999917295,199394
2021-04-09,538.3074951171875,542.2388444300061,518.1772104339667,520.0244716510629,179588
