Price,Close,High,Low,Open,Volume
Ticker,GLENMARK.NS,GLENMARK.NS,GLENMARK.NS,GLENMARK.NS,GLENMARK.NS
Date,,,,,
2021-02-08,494.1369934082031,498.8023694571273,491.14131290824406,497.96750669569974,950750
2021-02-09,492.4181213378906,504.10610890566045,490.1099821605934,495.0209038255292,2303479
2021-02-10,498.6550598144531,500.9140720714937,483.52939522769145,496.003149796283,2065039
2021-02-11,497.2308349609375,500.91402633101853,493.056551408179,497.8692488036406,1241576
2021-02-12,495.1191101074219,501.8470785365804,493.05651708896573,498.90052564561046,1062354
2021-02-15,481.9087829589844,502.4855586876239,479.5024490979363,500.9140576101474,2341353
2021-02-16,494.23516845703125,496.78882374424796,481.36854769730166,487.1634292684187,2496554
2021-02-17,485.4937438964844,499.1952284626339,483.8731456080093,496.78886465855084,1374738
2021-02-18,484.7571105957031,488.5876538293637,479.8953156800329,486.18129000041176,1429276
2021-02-19,473.65838623046875,492.9092048123216,469.6314245414562,483.13645888187915,3007629
2021-02-22,460.8900146484375,477.14515394802794,458.680099820608,475.4754585068897,1535296
2021-02-23,458.1399230957031,467.71622094817377,452.7870061527152,460.64448131371677,1468190
2021-02-24,457.3540954589844,462.55969003024745,441.5900500484892,460.49709708593133,827347
2021-02-25,464.3276672363281,469.48413524900025,460.25160804013655,461.47933851934414,1732202
2021-02-26,457.8944091796875,469.23862775114776,454.9478557872156,461.62669815392877,1748185
2021-03-01,459.6131591796875,465.4571378312811,453.57270170294123,460.3497974111067,1174175
2021-03-02,467.519775390625,473.75665233861815,459.22030520348363,460.644484576057,1608803
2021-03-03,470.3190002441406,472.4306906838123,464.6714400124734,470.9574141016383,1175643
2021-03-04,465.2607116699219,470.4662764342327,461.8721638688892,466.53753926150426,1265418
2021-03-05,459.6131591796875,466.0955516370671,456.7157034798842,465.4571378312811,1009076
2021-03-08,478.4219970703125,482.4489588511907,458.48363702309086,462.8543693170722,2755755
2021-03-09,466.29205322265625,481.2703656221202,459.85875726358995,480.2881812024832,1472301
2021-03-10,477.83270263671875,482.7436245548762,467.617991041729,469.435038146225,2061781
2021-03-12,470.2207946777344,484.16782553814954,468.5019719295651,483.18564111062426,1561235
2021-03-15,465.1134033203125,470.41722297606435,454.9969161488678,468.50195143661074,1684421
2021-03-16,468.25640869140625,469.97523137669197,460.8409285244435,465.75185048240263,1150225
2021-03-17,450.7735595703125,469.1403905668262,449.0547368047251,468.30552780019144,1740759
2021-03-18,447.67962646484375,455.24245814746376,438.69264542175887,453.76918158387974,2539125
2021-03-19,450.1842041015625,451.7557050608232,435.10766829127465,440.0185900552845,1224939
2021-03-22,452.2467956542969,459.4658266430136,447.92516053798437,450.82261635816377,1113661
2021-03-23,457.3540954589844,461.62660299209244,452.54139857150335,455.7334974219806,1028108
2021-03-24,451.1173095703125,462.6088797184808,449.84048176446754,457.6979574284757,1398461
2021-03-25,436.040771484375,454.7513721051952,434.17459716617134,451.31372674370886,1114724
2021-03-26,442.52313232421875,453.376287018499,434.5183361302107,437.0720213508582,1489814
2021-03-30,453.67095947265625,454.99691438144356,443.94734009803017,443.94734009803017,1086346
2021-03-31,456.4211120605469,462.6088619183059,453.67097769962857,456.666658165599,1030191
2021-04-01,474.6405944824219,479.3059702171172,454.1129472445402,457.69791418273894,2183036
2021-04-05,470.515380859375,483.2346796402742,464.76962663544424,472.38155502408677,1635705
2021-04-06,498.6058654785156,500.2755908168433,470.9573827862582,473.4128435932773,4109355
2021-04-07,494.6771545410156,504.842768818421,490.5028709466999,499.53897918747987,2534637
2021-04-08,495.9048767089844,507.6419618110251,491.28862820746315,495.0209167809389,2545529
2021-04-09,520.2139282226562,524.7810491589922,496.0030617256522,496.0030617256522,6589491
2021-04-12,489.0787048339844,527.4329913795734,484.0204314962063,522.5220696721286,4992051
2021-04-13,502.2399597167969,510.14656150373435,476.21207514921394,497.9674519156427,4027905
2021-04-15,527.3839111328125,543.3444071959058,503.2712967624331,505.67760051833966,13413739
2021-04-16,561.7113647460938,567.7026664859483,516.285329581777,530.3305565727543,11468653
2021-04-19,568.5864868164062,577.1314418408899,528.8571218785561,559.8450230044225,13615161
2021-04-20,561.4165649414062,579.488781426006,556.8494435649352,574.5778595495144,6723905
2021-04-22,556.9967041015625,578.0154725365463,554.4430488477152,562.7916155708429,4652985
2021-04-23,549.28662109375,567.1623890134017,540.2014154699374,559.354011109326,3988771
2021-04-26,542.3131103515625,559.7959797120567,540.496033343707,553.8537764112859,3783242
2021-04-27,551.0054931640625,554.0993982545248,533.5226214132978,542.6078278513861,3675226
2021-04-28,553.55908203125,565.6890948615691,550.1705939430979,553.7555308930587,3604619
2021-04-29,556.260009765625,569.126659033581,550.1705155516534,556.8984534885901,3540326
2021-04-30,566.5239868164062,573.5466297127567,555.4253143633355,556.8003965919773,3699395
2021-05-03,567.5060424804688,576.0510573670269,561.9075803170156,566.7203070771945,3033484
2021-05-04,548.206298828125,573.3501978735293,544.1302092024587,571.6313750105252,3181758
2021-05-05,562.6934204101562,567.5060876052419,546.1926758905105,549.0410343951042,4679850
2021-05-06,559.992431640625,568.9302852546391,556.3092403247771,567.4079115003103,2214108
2021-05-07,580.9620361328125,591.9625127118645,555.0323456213168,560.8272571966795,12763132
2021-05-10,614.2090454101562,623.588955226011,592.2572460889576,594.221615064377,13023815
2021-05-11,613.6197509765625,628.5980642256903,607.4810980056085,620.8387828912913,8286175
2021-05-12,612.6866455078125,628.598045524713,608.0703666214341,618.2851088403232,4633089
2021-05-14,597.4627075195312,620.0038495645414,590.8820606118263,613.0794621252959,3176782
2021-05-17,593.2885131835938,603.4541583494191,588.3284936325089,601.6370811232871,2155528
2021-05-18,597.708251953125,605.9095269389959,591.3731511418954,594.7126017866938,1866283
2021-05-19,603.5523071289062,612.5884154985854,597.1681085994711,598.6413851831869,2148078
2021-05-20,596.1368408203125,610.3785147935326,593.1902875844738,604.8782461179663,3151384
2021-05-21,596.4314575195312,601.8334715439979,594.859986509706,599.0833673029156,1185358
2021-05-24,594.2706909179688,608.2177221312038,592.4536736601937,599.1325159467652,2167948
2021-05-25,590.8330688476562,598.9360909021937,588.3776076190085,598.9360909021937,1597630
2021-05-26,597.5609741210938,603.9942695336263,586.4622431638531,591.9625114152185,2251359
2021-05-27,595.7930297851562,603.3558616131306,593.6322720752589,598.1502963113071,1827666
2021-05-28,596.7752075195312,603.5523037457466,588.8195379911718,599.0342795601213,2099504
2021-05-31,581.9442138671875,590.9803216670007,567.948087204559,582.4353060307885,3562450
2021-06-01,584.1050415039062,600.949467038808,580.4709474406955,583.564852104134,2289905
2021-06-02,603.846923828125,606.9408284966066,583.4175014243688,584.1050424560063,4039933
2021-06-03,605.4675903320312,613.5706116984445,602.5701343387277,606.2042286380688,2318555
2021-06-04,603.4541015625,614.7492218297673,601.342381185596,608.3650234178336,2051532
2021-06-07,605.3202514648438,610.3785252521501,602.0790548394403,603.503234250721,1041338
2021-06-08,618.088623046875,621.1334306167062,584.3997105461245,603.6996577390697,4672359
2021-06-09,612.0481567382812,631.8391339688442,605.7621533807588,623.6870164520176,5207526
2021-06-10,622.4593505859375,630.9061122715826,613.0304045206697,613.8652372642382,2793420
2021-06-11,641.2681884765625,646.1791102448076,622.3119824929158,625.6023360463054,4978752
2021-06-14,632.3793334960938,646.4737140788271,623.6870264762811,646.4737140788271,1892251
2021-06-15,629.4819946289062,637.4867613764137,626.6336359409727,636.2099336689108,1051668
2021-06-16,631.2498779296875,642.250354363819,625.2094203493149,629.7766014415746,3338407
2021-06-17,628.10693359375,641.8575154081558,618.7761816482604,628.4998313389876,2709838
2021-06-18,628.9908447265625,635.6205886991504,614.8473669392662,631.5444999072654,1921799
2021-06-21,629.7275390625,635.9152886654352,621.4771662934018,626.6336342871439,1227966
2021-06-22,628.892578125,638.2724259442762,627.2228528710468,634.491040471657,1417530
2021-06-23,627.5667114257812,635.4241863385128,624.6692555621563,633.5089148389793,852001
2021-06-24,620.0038452148438,631.298964771233,614.8473775912748,629.5801422300433,1106106
2021-06-25,634.884033203125,638.4198731367707,623.1960146235092,624.6692912538248,1332075
2021-06-28,655.1661376953125,660.0279628037358,632.772343804028,637.8306177956994,3740538
2021-06-29,643.5272216796875,659.3403663147571,641.3664040409893,655.0678882148815,1433644
2021-06-30,640.9244995117188,648.3891378670422,638.4199409636493,646.0809682656559,835663
2021-07-01,641.513671875,646.2772415455822,635.5714091578925,640.7770336817489,718932
2021-07-02,650.8936157226562,656.0009866067526,641.5137666655073,641.5137666655073,1850323
2021-07-05,650.3042602539062,655.8536260332236,649.2238814046586,653.1526189623268,772577
2021-07-06,636.848388671875,653.0052740868725,633.6071321950125,651.0900624658989,904205
2021-07-07,650.6970825195312,654.9695601388531,635.5714206977049,638.1251357826703,1841193
2021-07-08,637.6341552734375,652.9562086745292,634.8840508101365,650.6971964349527,934045
2021-07-09,653.447265625,655.9518238412419,633.7544805062257,638.2234075113286,2062699
2021-07-12,644.5093994140625,662.925356461014,640.5806619107129,658.0635318110634,4191899
2021-07-13,645.7861938476562,651.973943107136,641.4154616107676,649.2238389860088,976965
2021-07-14,652.4159545898438,656.5902380779986,644.1164848414868,645.1969235953214,1703147
2021-07-15,644.1656494140625,654.0366511233,642.8397243818451,650.746297237627,662530
2021-07-16,674.8097534179688,677.7072092732575,644.1655893569272,644.1655893569272,6432804
2021-07-19,670.3899536132812,678.6403265940246,663.9566577503741,663.9566577503741,1858210
2021-07-20,655.706298828125,673.6803217824131,653.1526432995994,670.3899679865967,1764497
2021-07-22,660.3225708007812,670.8810532713987,654.0366265078719,658.0635586338329,2063487
2021-07-23,638.3216552734375,662.5324643754053,633.5089278117259,661.0100905694442,3292401
2021-07-26,615.2402954101562,638.468919114774,611.9008446704053,638.468919114774,3009500
2021-07-27,578.2610473632812,624.1781666231257,574.6269532077062,624.1781666231257,5778251
2021-07-28,577.1806640625,594.6635337090962,571.4348495785824,581.4040448277455,4437698
2021-07-29,581.0602416992188,584.497886949175,574.62694614957,579.6852195679016,2245219
2021-07-30,596.6278686523438,600.9003464042137,579.930735450817,582.4352934414916,2224480
2021-08-02,594.8599853515625,605.0255695623387,590.7347990240822,603.9451907386593,1508410
2021-08-03,593.63232421875,597.8557054969473,587.5918656822678,595.2037954090335,1702042
2021-08-04,585.1853637695312,598.248402296251,582.6317087003448,593.5339298889543,1145829
2021-08-05,588.3284301757812,593.1411575069138,580.667404176403,587.3462458182257,1153827
2021-08-06,585.8239135742188,594.95821675733,572.6135210392462,592.9938479029929,3406554
2021-08-09,580.2744750976562,587.2480196281329,576.542186730184,586.6586730767809,1099044
2021-08-10,570.6000366210938,583.71217432342,562.0550203897026,580.2254317085484,1209723
2021-08-11,568.095458984375,575.4618416996922,555.7199000539764,571.6312987086169,1302387
2021-08-12,560.434326171875,572.9080785170504,557.4877733319645,570.5508722137846,1232132
2021-08-13,553.2153930664062,565.6400503740409,550.0232935946516,562.6934970154981,1997335
2021-08-16,559.2066650390625,572.6135060992278,550.0232648637523,560.0415577490406,5163107
