Price,Close,High,Low,Open,Volume
Ticker,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS
Date,,,,,
2021-02-08,1404.323974609375,1407.6452023760269,1352.1856636868588,1357.5996392663426,583368
2021-02-09,1369.5650634765625,1414.4467887444375,1361.216509427551,1408.5095430673427,624882
2021-02-10,1364.5606689453125,1378.0729500038788,1357.5997632260066,1364.2648784918106,444718
2021-02-11,1355.5069580078125,1371.703568620857,1353.5051796507628,1366.2212817287857,386122
2021-02-12,1364.1510009765625,1377.0263815775274,1353.7096989877903,1360.3749246554844,377150
2021-02-15,1367.2447509765625,1386.2620870205526,1364.8789829542688,1368.0637005811623,334730
2021-02-16,1365.1292724609375,1386.717086784137,1356.2347886166378,1373.9554457096324,378556
2021-02-17,1358.8280029296875,1375.7980205701988,1354.9154164733413,1364.9245290568547,369214
2021-02-18,1353.2091064453125,1371.1800103233427,1346.2254322807848,1363.0589371791928,376690
2021-02-19,1334.96533203125,1364.1282895675579,1320.3838532630962,1355.7797356916162,289368
2021-02-22,1305.302001953125,1345.5659308518334,1298.9097966758482,1333.0773107133318,302540
2021-02-23,1311.5576171875,1333.008918880703,1303.0271242966517,1313.7414455823825,290736
2021-02-24,1331.1436767578125,1346.6577334834296,1326.3666006467863,1326.3666006467863,350930
2021-02-25,1343.0181884765625,1348.9554344416308,1333.0318458394531,1333.0318458394531,507262
2021-02-26,1336.216552734375,1358.0546169261522,1317.5859764355926,1330.7570366864306,690800
2021-03-01,1337.0128173828125,1355.7799049938856,1333.0319200107667,1335.3067185090786,253936
2021-03-02,1334.897216796875,1344.3830593047235,1315.7661403923325,1342.1310311452567,381826
2021-03-03,1450.82080078125,1464.970090494876,1334.8516290409834,1342.1309835279144,2923464
2021-03-04,1435.124755859375,1468.5188626830418,1419.4741874530105,1424.0237842076676,969154
2021-03-05,1427.5723876953125,1460.329481937965,1417.1992856369798,1434.4195525261377,757240
2021-03-08,1433.122802734375,1453.5732154347595,1427.799797396187,1444.0418336123512,308234
2021-03-09,1433.87353515625,1477.36772208536,1431.0073782232284,1445.8617663522284,1091538
2021-03-10,1418.791748046875,1450.8664051696278,1414.9473610037276,1446.7717680901274,299822
2021-03-12,1393.6324462890625,1434.8518370384008,1387.6270008281747,1418.7917383877584,455594
2021-03-15,1367.5177001953125,1404.460400534221,1335.306535655309,1393.632338950197,485246
2021-03-16,1353.2091064453125,1378.5047931076379,1349.0689297298402,1366.7213841084,307046
2021-03-17,1325.888916015625,1359.1009701100759,1321.1572690617993,1353.0499846150276,358372
