Price,Close,High,Low,Open,Volume
Ticker,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS
Date,,,,,
2021-02-08,382.79437255859375,385.30756278033493,380.23465334999526,381.8170365867915,1605165
2021-02-09,384.2835998535156,390.00805609350317,383.25970667422416,384.88861860301563,1596161
2021-02-10,382.4220275878906,387.960311701286,380.14153927851015,385.354063695685,1825990
2021-02-11,387.774169921875,389.40308203762436,379.6296093431281,383.8647694816873,1851525
2021-02-12,383.1666564941406,388.28609446806104,381.63083078315896,388.14647911360316,1406466
2021-02-15,382.0962219238281,388.5653410630026,381.11888606814114,386.28485285843766,1208693
2021-02-16,380.9327392578125,384.65596700865245,377.6283859913314,384.19056353979744,1358750
2021-02-17,387.4949035644531,389.0772866668749,379.3038141549079,380.14153468902487,2123650
2021-02-18,388.518798828125,391.8697093876941,386.5640986345453,390.9389024770345,2569355
2021-02-19,395.4532775878906,398.29222698651364,388.1464384726198,389.8218793626319,4620093
2021-02-22,391.776611328125,403.923658193451,386.8433462111851,398.71113396806044,5212684
2021-02-23,392.8935852050781,395.59291944480134,388.23955085866874,392.94011418615366,2224637
2021-02-24,395.034423828125,396.98912390604295,386.42446041398455,392.89357942267304,1032212
2021-02-25,381.4446716308594,399.0834744591396,378.0007030056415,392.80052763091993,6334193
2021-02-26,370.04229736328125,384.1905745856388,363.6662923814304,379.76924150439885,4933943
2021-03-01,373.9981994628906,374.8359483940963,368.646059810712,373.1604789376571,1971538
2021-03-02,378.5591735839844,379.81574016090127,373.25356294777436,374.18436983791844,2414479
2021-03-03,380.7465515136719,382.0962328825888,377.2560256347201,379.7692156299543,3291643
2021-03-04,378.83837890625,383.4924130451474,375.7667277369657,379.76918573402946,2464082
2021-03-05,373.7655029296875,378.8384119458975,372.32276358319166,376.97679812798157,1717183
2021-03-08,372.74163818359375,376.6510101589865,372.3227637120287,375.999462366074,1368015
2021-03-09,373.5328063964844,375.62712197076166,371.43849082220714,372.7416432376469,1546208
2021-03-10,375.83917236328125,378.9456587275099,374.7566106744208,376.7334786917111,1673234
2021-03-12,370.8028259277344,377.4865079995336,369.39078163347176,375.83912298956056,2170868
2021-03-15,369.34375,373.6269398248166,366.5196612201781,370.8969930832787,1359623
2021-03-16,371.6971435546875,373.344528615257,367.3198118536545,369.48493501344245,2210581
2021-03-17,368.59063720703125,373.15625308210576,363.7426239492165,371.9795494404946,2364847
2021-03-18,362.9895324707031,370.1438961082105,360.3536991684029,369.9556120408622,1382602
2021-03-19,371.74420166015625,372.9679906610862,356.87067940358963,361.48335184557936,2834530
2021-03-22,378.1455078125,379.3222114978412,370.8970016195512,371.7442225273734,1625660
2021-03-23,376.6392822265625,379.1338880347374,375.6508339966797,377.91012782034653,947847
2021-03-24,377.2041015625,381.7226317042517,373.2503661423818,373.2503661423818,1872518
2021-03-25,374.6624450683594,379.46340174325064,370.8969933591296,378.2866980841163,2305425
2021-03-26,378.28668212890625,380.1223225228629,373.6740097252744,375.32139477857976,1001171
2021-03-30,384.26434326171875,385.91172831952946,379.4633867761902,379.8869828399007,1467822
2021-03-31,387.18255615234375,388.2651464890555,383.0876504471402,386.57067600210434,1052705
2021-04-01,383.3700256347656,387.4649598309993,382.3816061206917,387.1825337354677,645008
2021-04-05,378.85150146484375,392.548319838465,375.6037880468766,387.13548329392984,2105709
2021-04-06,379.3692626953125,381.7697266876217,375.79209503459356,379.2280640007267,1032326
2021-04-07,384.0760498046875,389.25354557411345,378.3337305693376,379.32217881673324,1687852
2021-04-08,390.33612060546875,391.2304268514083,384.0760630682395,384.123119721977,1917274
2021-04-09,395.93719482421875,397.0668129342232,391.6069202489207,392.54828303798064,1583730
2021-04-12,383.51123046875,395.3253518158066,382.1933281861449,390.6655940818969,1469250
2021-04-13,396.59613037109375,399.1378213853112,383.13465401844735,383.13465401844735,2833579
