Price,Close,High,Low,Open,Volume
Ticker,NATCOPHARM.NS,NATCOPHARM.NS,NATCOPHARM.NS,NATCOPHARM.NS,NATCOPHARM.NS
Date,,,,,
2021-02-08,877.5901489257812,897.7657688033067,874.5976199309633,892.9390711215685,348231
2021-02-09,869.5294189453125,883.8164295320656,865.9093963851739,877.4934685776176,195941
2021-02-10,855.1459350585938,878.3140820440144,847.5680438833036,876.479972426122,461312
2021-02-11,855.5320434570312,883.7682209138642,828.5990506226573,859.0555558357404,973523
2021-02-12,824.39990234375,854.3254257309353,820.6833689748124,825.3652418078527,1172078
2021-02-15,813.0570678710938,837.8663009602005,803.1140843459418,835.8873670758162,418980
2021-02-16,790.950927734375,816.6289948242979,784.2418650738531,813.0572267459661,624350
2021-02-17,778.3048706054688,803.0658491265405,768.3136316483427,794.4743051265747,617272
2021-02-18,763.0043334960938,782.8903028236327,760.7357504110942,779.6081250885734,688114
2021-02-19,786.4620971679688,795.198407800543,744.7594192632704,763.5835393872286,1365681
2021-02-22,768.0979614257812,798.3018886006338,760.8973333888873,787.7184207201565,480445
2021-02-23,792.889404296875,796.9488243931504,761.6223187422836,772.1090999149471,352674
2021-02-24,778.7781372070312,802.0230701183065,774.1871398111474,798.1569670480885,129939
2021-02-25,775.443603515625,796.658855693124,769.4028175306908,783.8523894050635,315590
2021-02-26,784.190673828125,792.5511454840151,766.6482661861188,776.6517844865656,376136
2021-03-01,793.276123046875,797.3838580733133,779.4548146386826,788.6851250761498,207283
2021-03-02,775.346923828125,797.3836978615251,772.3023442940168,797.3836978615251,323291
2021-03-03,777.328369140625,784.770629546288,774.1871603128885,782.8858924512356,388142
2021-03-04,809.6102905273438,828.312539556449,775.2502540907277,777.0866765500408,905440
2021-03-05,805.8892211914062,824.4465288322309,795.5473830641503,812.8965334235677,390122
2021-03-08,823.0450439453125,868.7133885920049,810.0936334513242,810.0936334513242,1844515
2021-03-09,816.7626342773438,837.5912539479967,795.4507516955755,832.951941799702,392825
2021-03-10,796.9971923828125,826.3796018222022,793.1310889824747,821.6436015599659,336704
2021-03-12,797.4804077148438,819.0339800790715,788.3467861702782,804.1011447880355,423232
