Price,Close,High,Low,Open,Volume
Ticker,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS
Date,,,,,
2021-02-08,27578.177734375,28286.09834671611,27179.78367166517,27869.382587677814,55391
2021-02-09,28617.251953125,28876.30115001767,27702.129981378894,28048.630093766064,58304
2021-02-10,30158.1328125,30414.963050166472,28143.07079352765,28530.274116525852,170377
2021-02-11,29052.99609375,29849.123833019956,28629.48142862448,29654.10559083817,102338
2021-02-12,28985.615234375,29455.783568566905,28813.780853522254,29275.403489644294,37172
2021-02-15,28411.515625,29270.682010728204,28253.044846490593,28985.61574206078,30961
2021-02-16,27711.619140625,28743.468272198454,27529.20825458827,28544.43634630979,36771
2021-02-17,26872.337890625,27993.354755859364,26294.244218104224,27479.8583346534,116041
2021-02-18,27580.38671875,27917.179781382707,27015.962578625546,27044.1545850464,55701
2021-02-19,26867.9765625,27758.420224288046,26613.386368024116,27529.224344464437,46084
2021-02-22,26116.216796875,27072.49251023057,25882.274657623035,27044.157742084655,25753
2021-02-23,27568.236328125,27766.820708178187,26132.87456215065,26132.87456215065,60003
2021-02-24,27454.892578125,27847.029526910905,26655.00795609465,27594.71794834048,24911
2021-02-25,27329.115234375,27745.59895572671,27148.711261324217,27623.19382640387,42564
2021-02-26,26658.80859375,27300.4057484652,26199.322986509385,27054.597986902318,73058
2021-03-01,26673.1875,27177.050569306983,26509.538144288963,27051.749462944827,26717
2021-03-02,27968.017578125,28012.39505928466,26768.87633588029,26768.87633588029,48268
2021-03-03,27475.498046875,28094.029560850533,27350.860662437903,27890.12972647659,36650
2021-03-04,27679.111328125,28618.395055984143,27285.64684586364,27376.39485746104,72522
2021-03-05,26738.212890625,27952.59026573684,26585.669017981174,27604.215197732443,47917
2021-03-08,26142.271484375,27053.64677202374,25990.485916421407,26911.259157434146,38023
2021-03-09,26333.876953125,26958.721258347075,26104.395584667065,26370.185794256402,43287
2021-03-10,26890.6640625,26958.724608024357,26345.12847713074,26577.125759699506,36130
2021-03-12,26730.1484375,27309.95169901044,26606.271180054016,27243.50412796662,32302
2021-03-15,26401.328125,26953.98129823596,26214.752105208976,26953.98129823596,28570
2021-03-16,27139.45703125,27243.4945350497,26441.94688949618,26672.946671834656,34198
2021-03-17,27237.80078125,27480.80897111548,26816.38165609129,27243.496285699974,36200
2021-03-18,26762.037109375,27528.27156811004,26637.922574632572,27290.95888217806,20900
2021-03-19,26896.12109375,27338.4237742877,26332.266103405316,26766.025526513553,51263
2021-03-22,28212.97265625,28431.014855191846,26624.495765176474,26958.72664977625,55943
2021-03-23,29221.69140625,29331.852714438366,28027.77109066473,28221.22916505672,57958
2021-03-24,28268.265625,29179.878363892294,28145.432186677303,29132.510372771794,46446
2021-03-25,27705.783203125,28466.13309676611,27314.92918476454,28183.256357309117,43051
2021-03-26,28514.5,28648.392583014942,27813.051778738827,27813.051778738827,36962
2021-03-30,29411.96875,29597.11901804496,28714.838546841835,28758.504086450255,56267
2021-03-31,28778.865234375,29379.314617703527,28600.928899237715,29379.314617703527,33389
2021-04-01,28665.095703125,29189.08214684262,28468.031607049685,29045.176095782135,33538
2021-04-05,28172.9609375,28838.243076918017,27823.493838958,28838.243076918017,27164
2021-04-06,28025.20703125,28371.20896065846,27858.99358081813,28371.20896065846,22797
2021-04-07,28317.671875,28454.981384109327,27824.489698028807,27955.4381139075,27083
2021-04-08,28283.828125,28667.373645458043,28145.285714828842,28474.67573651672,33157
2021-04-09,28003.994140625,28307.13705103131,27907.977039295805,28307.13705103131,22594
2021-04-12,26764.6953125,27716.7475086031,26628.952448978314,27644.081618731092,28586
2021-04-13,27775.79296875,27992.79135131836,26868.546430985833,26896.07470678511,30451
2021-04-15,28329.298828125,28477.524715068033,27269.554837593834,27717.174805175717,26397
2021-04-16,28684.2734375,28857.226202943035,27860.607352192248,28249.705651302127,26060
2021-04-19,28381.83984375,28572.450153151312,27691.782690374363,27814.04693960867,20892
2021-04-20,28713.69921875,29047.075368302954,28254.450926063313,28667.37503669115,24174
2021-04-22,28363.09375,28640.749635191783,28154.781383891703,28477.526686336856,18136
2021-04-23,27649.208984375,28331.340259711695,27575.736599364227,28160.47511038689,38733
2021-04-26,28745.876953125,28882.665478958035,27764.588921776267,27764.637125919282,72653
2021-04-27,28663.720703125,29255.910460181927,28249.704584523493,28650.95216711074,36154
2021-04-28,28510.08984375,29424.787729902695,28383.553944767056,28761.26128572383,35823
2021-04-29,28373.775390625,28909.96128731908,28240.311074276276,28803.35966117243,28988
2021-04-30,28155.349609375,28453.79444973396,27973.996345477375,28024.306640918105,19104
2021-05-03,28183.970703125,28430.06399496792,27802.84647294204,27847.79313152862,20846
2021-05-04,27916.330078125,28352.225341505313,27758.563469144745,28352.225341505313,25145
2021-05-05,28133.234375,28286.727503572158,27775.081269657418,28286.727503572158,27903
2021-05-06,28047.513671875,28265.841358087855,27918.415561766527,28183.256537650817,13088
2021-05-07,28126.16015625,28274.337844341273,27955.437760287525,28047.515093487793,16892
2021-05-10,27649.728515625,28370.589928756162,27486.694694160436,28126.3006113249,29383
2021-05-11,27423.6171875,27885.854104217942,27151.419531635354,27649.727977290895,22994
2021-05-12,26769.6328125,27643.844598758486,26679.357577843803,27481.048085887964,17605
2021-05-14,26611.009765625,26958.721053776375,26390.119859719613,26958.721053776375,23147
2021-05-17,26740.77734375,27053.601858651713,26522.781508495485,26862.850636039253,22214
