Price,Close,High,Low,Open,Volume
Ticker,TIINDIA.NS,TIINDIA.NS,TIINDIA.NS,TIINDIA.NS,TIINDIA.NS
Date,,,,,
2021-02-08,897.6722412109375,919.28741679802,857.6644497559336,857.6644497559336,217795
2021-02-09,902.2332153320312,978.6297835997038,887.4099861415755,978.6297835997038,137732
2021-02-10,913.5862426757812,927.0708859000314,897.3252959781053,907.4388086550716,260579
2021-02-11,937.5314331054688,955.8249835349345,897.5732016026966,911.1570334929601,343513
2021-02-12,941.1505126953125,971.4909913518675,914.3794807568605,953.8419527700297,143769
2021-02-15,991.4700927734375,1016.0101437580361,941.4479139917944,952.0076225421691,416338
2021-02-16,1011.4491577148438,1016.307628144214,991.5196372138673,996.6755514308907,414846
2021-02-17,1019.7780151367188,1039.8066647350788,1005.4009794347427,1011.4492254195845,421076
2021-02-18,1000.1954345703125,1030.4367835213852,990.5281181023466,1006.4419961845639,246643
2021-02-19,1019.5797119140625,1042.0871597184844,981.6540245085586,998.4602948016307,227645
2021-02-22,1039.5977783203125,1071.884967743537,1029.2659747216758,1044.1180333479615,297013
2021-02-23,1052.313720703125,1061.2547860666634,1014.8109187616164,1052.760725462918,384312
2021-02-24,1064.7816162109375,1089.8165513805743,993.4517332548536,1038.2563821704548,746390
2021-02-25,1060.2117919921875,1078.093925733764,1039.100939658382,1070.3450738750025,128101
2021-02-26,1073.3748779296875,1090.8100043768839,1036.269479903847,1036.269479903847,386118
2021-03-01,1034.5806884765625,1074.9148057313264,1014.31424829176,1073.3749069929179,226705
2021-03-02,1082.9620361328125,1090.8103314420143,1037.1639216989643,1060.8081285755975,150378
2021-03-03,1128.4620361328125,1144.456587449745,1055.1452374909197,1089.8167330142103,251989
2021-03-04,1142.0723876953125,1178.4824275183612,1105.1656218754172,1126.5745608479003,70456
2021-03-05,1119.07373046875,1161.7425579981384,1102.3340919098903,1141.4761170444604,91392
2021-03-08,1110.2818603515625,1155.483923477513,1096.4728541753711,1141.47627542235,45919
2021-03-09,1165.319091796875,1182.8535422831392,1106.5067871642843,1117.6334000609415,517974
2021-03-10,1198.1527099609375,1216.7799330464109,1183.2012103892707,1186.1815660829466,803900
2021-03-12,1191.9434814453125,1231.8801940671674,1150.6655119179811,1221.84635545033,59941
2021-03-15,1191.0992431640625,1203.716156499029,1152.5533778000574,1173.2668280288397,188336
2021-03-16,1171.9749755859375,1210.0242259446352,1157.8680093090904,1210.0242259446352,79110
2021-03-17,1163.083740234375,1190.155302840727,1132.5350961923446,1171.975085682933,25331
2021-03-18,1161.8419189453125,1197.1094590244563,1131.442317103119,1182.1083605971,76970
2021-03-19,1140.9794921875,1176.1477132405103,1098.8075080939257,1176.1477132405103,381264
2021-03-22,1129.9521484375,1158.3648468416857,1099.8009093112105,1129.5547434468237,46108
2021-03-23,1111.5732421875,1156.874619969018,1108.1954818166078,1129.6540164214352,22433
2021-03-24,1099.0059814453125,1122.302376114231,1089.4191479518454,1114.6528462658898,23545
2021-03-25,1086.140869140625,1104.569326719879,1076.9017191670591,1092.7969474942481,27149
2021-03-26,1108.8909912109375,1134.52209940824,1092.8468396240116,1102.4335536924143,32321
2021-03-30,1157.421142578125,1182.1083971425487,1118.6267987833307,1147.1388187696828,48773
2021-03-31,1185.5357666015625,1203.0702163877518,1129.3064149288002,1152.4041709411993,92570
2021-04-01,1190.5029296875,1211.8621431975316,1145.449915212395,1211.0177334292362,282259
2021-04-05,1151.361083984375,1192.2416558049713,1124.2895184634915,1192.2416558049713,64430
2021-04-06,1140.6318359375,1162.3387359399594,1132.2370945264536,1147.4369572740625,415517
2021-04-07,1162.9844970703125,1167.3059886037122,1142.5690119101687,1162.3387290777391,80899
2021-04-08,1163.0343017578125,1181.214523333501,1150.4672299603458,1168.2996462911667,74551
2021-04-09,1169.6903076171875,1189.1619408743838,1133.528633698974,1142.1716168410453,74247
2021-04-12,1128.213623046875,1168.2993811299177,1095.777395736649,1144.9532625444133,50707
2021-04-13,1129.0081787109375,1157.3215532331344,1117.6332048235633,1147.089073098217,66009
2021-04-15,1095.4794921875,1146.8410343016706,1079.882344006931,1122.7001017460143,297426
2021-04-16,1110.33154296875,1116.9380223738901,1097.7643521492248,1098.7578040516223,23690
2021-04-19,1089.02197265625,1145.4500915917138,1043.1245413454462,1102.7316579937574,120095
2021-04-20,1091.6544189453125,1107.64896768608,1062.9933605346232,1087.3329281356496,149072
2021-04-22,1115.10009765625,1119.570631450843,1091.0088877631656,1091.9030187762821,21550
2021-04-23,1109.78515625,1132.5352303059583,1097.1186438057887,1131.5417783495495,33929
2021-04-26,1115.8450927734375,1136.508940194456,1089.8664233688187,1136.508940194456,204089
2021-04-27,1119.322265625,1139.2907468736917,1107.2022003209993,1130.449000248155,18024
2021-04-28,1197.208740234375,1257.7099791241628,1128.3626032392135,1142.4695702944607,113758
2021-04-29,1256.6671142578125,1316.3239579945707,1216.978753617622,1258.7037394559404,145332
2021-04-30,1226.614990234375,1266.5518286545807,1207.0440366667715,1266.5518286545807,43536
2021-05-03,1254.9283447265625,1266.6511252173582,1219.9588876603261,1249.7624435477933,68376
2021-05-04,1239.92724609375,1284.4835379000504,1231.8803102567526,1284.4835379000504,28216
2021-05-05,1239.18212890625,1253.9845855828532,1222.0948057592434,1241.814800537585,45861
2021-05-06,1210.0242919921875,1249.7623639787946,1194.4767470732331,1249.7623639787946,496342
2021-05-07,1210.9681396484375,1231.9300716626474,1175.8000395605425,1194.1291785261992,72487
2021-05-10,1177.7373046875,1223.9328210670603,1167.3060590534058,1212.0113974852384,31434
2021-05-11,1197.208740234375,1202.076678309824,1172.173803376311,1176.942299254957,34680
2021-05-12,1212.4583740234375,1217.2767129586025,1170.6837926277585,1198.1030419709048,50164
2021-05-14,1162.885009765625,1219.8594441232829,1152.7517290197686,1219.8594441232829,119128
2021-05-17,1176.2967529296875,1202.0767808367607,1150.1191987434402,1163.828883264682,52524
2021-05-18,1173.3660888671875,1197.010294087369,1160.3518924102773,1197.010294087369,64957
2021-05-19,1191.744873046875,1199.3945254270195,1164.325624905682,1172.2732400927514,45822
2021-05-20,1175.551513671875,1200.7850913066293,1167.7032205300018,1200.7850913066293,20415
2021-05-21,1167.455078125,1190.1554308277418,1125.730096409837,1190.1554308277418,154015
2021-05-24,1182.5556640625,1197.904571524556,1169.5414660149004,1181.2145280031568,35992
2021-05-25,1165.96484375,1191.4965090072455,1159.358364377457,1191.4965090072455,39561
2021-05-26,1193.235107421875,1210.8192796188757,1164.5243219442664,1174.2601995180403,59429
2021-05-27,1152.652587890625,1251.4513326299984,1134.5220903866355,1207.0440804025936,198414
2021-05-28,1144.2579345703125,1177.2404887857047,1132.535153768526,1158.3649028895625,68293
2021-05-31,1178.5318603515625,1189.8571132926525,1143.6120070606269,1144.555737715396,60061
2021-06-01,1181.5618896484375,1189.1618202727966,1167.6039644370592,1187.1749166466097,55751
2021-06-02,1176.8927001953125,1187.1749020804762,1154.1923507988467,1172.2731250669137,44860
2021-06-03,1186.2313232421875,1187.1750540654764,1167.306015503711,1187.1750540654764,32730
2021-06-04,1190.0062255859375,1192.142171230253,1178.6808507050555,1191.1487194208944,40356
2021-06-07,1219.31298828125,1221.9456596884306,1181.0154958560338,1185.1879447221932,74748
2021-06-08,1263.2734375,1271.0224109861256,1222.0451828107903,1222.0451828107903,286578
2021-06-09,1259.0018310546875,1298.44182891817,1197.4574038150542,1276.486562874672,101966
2021-06-10,1284.4339599609375,1291.4377229526472,1262.9257025038246,1276.5856658544067,61051
2021-06-11,1330.232177734375,1340.1666973589781,1265.3597160773193,1291.4875511984224,100925
2021-06-14,1321.0924072265625,1440.505279095611,1295.0142944153488,1340.862003350465,89338
2021-06-15,1317.0191650390625,1337.9810976188385,1298.5907046408297,1336.1928356500941,62484
2021-06-16,1258.1075439453125,1339.1731968916797,1238.0397422678745,1339.1731968916797,146197
2021-06-17,1236.052734375,1261.7831613592064,1203.2688235607002,1237.244949349015,105801
